source_rank,city,state,country,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note
159,Manchester,,United Kingdom,162.5,125.8,44.2,74.5,66.9,7.6,39.0,52.3,86.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
160,Antalya,,Turkey,162.4,72.1,70.8,73.5,39.0,10.0,36.2,44.7,91.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
161,Miami,FL,United States,162.2,118.6,46.7,63.0,83.8,6.2,42.9,39.5,85.7,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
162,Brampton,,Canada,161.7,133.4,44.4,68.5,58.3,9.7,41.7,36.9,59.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
163,Brussels,,Belgium,160.6,136.1,44.2,73.6,70.1,6.7,36.4,62.2,83.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
164,Queretaro (Santiago de Querétaro),,Mexico,160.3,61.4,62.5,74.3,46.7,9.4,33.3,39.0,94.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
165,Plovdiv,,Bulgaria,160.2,86.8,76.0,59.5,41.0,8.6,26.6,56.8,82.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
166,Bratislava,,Slovakia,160.2,90.1,69.7,55.8,55.9,15.4,30.1,35.8,80.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
167,Phoenix,AZ,United States,160.2,149.2,46.7,66.0,73.8,4.7,32.7,58.0,53.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
168,Chicago,IL,United States,159.9,149.8,34.7,64.8,73.4,3.6,41.7,50.3,66.1,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
169,Cape Town,,South Africa,159.7,106.9,26.4,68.9,41.7,5.7,42.4,38.3,98.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
170,Singapore,,Singapore,159.0,117.2,77.7,71.9,88.6,23.8,41.0,32.3,57.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
171,Hamilton,,Canada,158.7,137.4,44.4,74.5,57.8,4.8,35.8,60.2,61.1,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
172,Windhoek,,Namibia,158.1,76.9,32.6,67.7,39.0,5.5,23.9,34.3,85.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
173,Florence,,Italy,158.0,84.3,58.3,66.7,69.3,12.4,27.6,43.8,92.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
174,Lisbon,,Portugal,157.7,73.0,66.9,72.4,54.7,18.9,34.6,37.5,98.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
175,Dublin,,Ireland,157.6,124.9,45.9,51.3,75.4,9.1,40.4,41.4,85.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
176,Izmir,,Turkey,157.6,81.2,66.7,73.3,41.8,5.7,39.9,60.0,96.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
177,Winnipeg,,Canada,157.5,129.9,39.7,68.5,58.3,4.6,31.7,35.5,24.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
178,Gdansk,,Poland,157.4,111.0,68.7,50.5,50.7,11.9,30.6,51.6,75.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
