source_rank,city,state,country,region,latitude,longitude,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note
125.0,Birmingham,,United Kingdom,Europe,52.4833,-1.8833,177.1,163.2,36.0,70.8,69.5,6.1,33.4,51.0,87.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
126.0,Brno,,Czech Republic,Europe,49.2167,16.6667,176.9,107.6,75.2,76.1,52.6,15.3,26.2,39.9,78.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
127.0,Mississauga,,Canada,North America,43.589,-79.6441,176.5,129.9,56.1,70.2,61.8,11.5,35.6,23.5,58.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
128.0,Baltimore,MD,United States,North America,39.2833,-76.6167,176.4,166.5,28.8,72.2,72.4,2.8,31.7,52.0,81.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
129.0,Abu Dhabi,,United Arab Emirates,Middle East,24.4667,54.4167,176.3,115.7,88.7,72.3,52.9,7.1,30.0,45.8,43.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
130.0,Prague,,Czech Republic,Europe,50.0755,14.4378,175.8,109.5,75.3,74.8,57.8,18.8,31.8,33.0,80.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
131.0,Hyderabad,,India,Asia,17.3667,78.4333,175.0,184.4,57.4,65.5,20.5,4.4,42.2,76.0,73.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
132.0,Montreal,,Canada,North America,45.5,-73.5833,174.4,136.5,67.1,61.9,59.6,7.5,40.1,33.7,52.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
133.0,San Francisco,CA,United States,North America,37.7833,-122.4167,174.3,175.5,39.5,64.9,95.6,7.3,49.0,49.0,97.3,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
134.0,London,,Canada,North America,42.9849,-81.2453,174.3,138.5,46.2,67.3,61.4,5.9,30.0,35.6,59.3,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
135.0,Bursa,,Turkey,Middle East,40.2,29.0667,173.3,84.4,70.9,77.5,39.4,6.2,33.8,46.4,93.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
136.0,Trieste,,Italy,Europe,45.6495,13.7768,173.3,96.8,72.7,64.5,63.3,7.8,28.8,45.0,92.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
137.0,Toronto,,Canada,North America,43.65,-79.3833,172.2,142.7,56.4,74.0,65.9,10.9,43.9,37.5,65.3,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
138.0,Jeddah (Jiddah),,Saudi Arabia,Middle East,21.4858,39.1925,171.8,136.1,75.1,60.8,43.0,3.6,29.9,65.5,66.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
139.0,Timisoara,,Romania,Europe,45.7489,21.2087,170.3,101.0,74.2,71.4,39.8,9.1,24.7,56.5,82.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
140.0,Denver,CO,United States,North America,39.75,-104.9833,169.5,146.0,52.0,68.1,76.7,5.4,35.5,44.9,56.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
141.0,Antwerp,,Belgium,Europe,51.2194,4.4025,169.4,126.8,60.2,79.7,71.5,6.5,38.8,58.2,85.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
142.0,Doha,,Qatar,Middle East,25.25,51.6,169.2,127.1,84.5,73.7,52.2,6.1,28.9,59.5,36.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
143.0,Philadelphia,PA,United States,North America,39.95,-75.15,169.2,151.0,34.4,71.1,79.0,3.3,39.7,47.7,78.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
144.0,Port Elizabeth,,South Africa,Africa,-33.9667,25.6,168.7,131.0,21.7,62.5,38.5,2.0,33.9,44.5,98.8,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
145.0,Lyon,,France,Europe,45.75,4.85,168.3,139.3,40.7,76.5,72.0,8.4,35.8,51.7,88.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
146.0,New Orleans,LA,United States,North America,29.95,-90.0667,168.0,144.7,32.1,61.7,76.5,4.0,28.0,50.6,86.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
147.0,Genoa,,Italy,Europe,44.4056,8.9463,167.4,110.0,54.8,66.5,62.0,5.6,33.7,50.5,95.0,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
148.0,Seoul,,South Korea,Asia,37.5665,126.978,167.3,141.3,74.5,83.0,62.1,23.6,40.9,48.3,68.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
149.0,Riga,,Latvia,Europe,56.9496,24.1052,164.1,92.6,62.7,60.7,54.7,8.5,30.2,36.7,74.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
150.0,Tel Aviv-Yafo,,Israel,Middle East,32.0833,34.7667,164.0,118.3,73.8,73.9,104.3,21.4,36.6,46.5,93.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
151.0,Pune,,India,Asia,18.5204,73.8567,163.9,156.8,58.7,65.6,21.5,7.5,44.2,71.3,74.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
152.0,Honolulu,HI,United States,North America,21.3167,-157.8667,163.8,103.6,52.7,72.5,101.9,9.6,40.4,37.1,95.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
153.0,Limassol,,Cyprus,Europe,34.6667,33.05,163.8,114.5,59.9,50.9,63.3,8.6,23.0,56.6,95.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
154.0,Cluj-Napoca,,Romania,Europe,46.7712,23.6236,163.8,89.9,77.5,66.6,45.6,14.4,29.9,42.7,74.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
155.0,Riyadh,,Saudi Arabia,Middle East,24.7136,46.6753,163.7,135.8,75.4,66.2,48.2,5.2,34.1,63.8,44.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
156.0,Poznan,,Poland,Europe,52.4064,16.9252,163.4,117.0,72.4,58.0,46.5,8.9,31.6,58.8,77.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
157.0,Ad Dammam,,Saudi Arabia,Middle East,26.4207,50.0888,163.3,135.5,72.0,60.2,42.5,2.3,28.4,59.1,27.3,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code
