source_rank,city,state,country,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note,quality_per_cost,low_pollution_score,low_traffic_score,cityfit_score,numbeo_qol_rank,cityfit_rank,rank_difference
59.0,Seattle,WA,United States,186.5,170.5,44.8,67.0,90.6,4.8,42.9,39.2,91.7,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.0584988962472406,60.8,57.1,64.034,38.0,39.0,-1.0
85.0,Madrid,,Spain,181.5,108.1,71.3,79.9,60.0,12.7,27.9,37.7,85.5,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,3.025,62.3,72.1,62.263999999999996,40.0,40.0,0.0
33.0,Reykjavik,,Iceland,195.6,112.8,76.0,70.0,98.9,8.0,20.5,15.4,68.8,False,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,1.9777553083923154,84.6,79.5,58.30699999999999,33.0,41.0,-8.0
143.0,Toronto,,Canada,164.5,125.9,56.5,74.1,67.5,11.4,44.6,37.5,65.3,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.437037037037037,62.5,55.4,55.922,43.0,42.0,1.0
137.0,San Francisco,CA,United States,167.3,158.2,39.4,64.9,97.6,7.1,49.0,49.0,97.3,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,1.7141393442622952,51.0,51.0,55.349999999999994,42.0,43.0,-1.0
184.0,Barcelona,,Spain,151.0,98.8,48.1,76.7,59.2,12.2,30.0,63.0,95.7,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.5506756756756754,37.0,70.0,50.290000000000006,45.0,44.0,1.0
158.0,Miami,FL,United States,159.4,110.7,46.7,63.0,79.5,6.3,42.9,39.4,85.7,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.0050314465408805,60.6,57.1,49.36999999999999,44.0,45.0,-1.0
200.0,Paris,,France,143.6,122.3,42.0,77.0,78.6,15.9,41.2,63.4,88.4,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,1.826972010178117,36.6,58.8,47.161,47.0,46.0,1.0
192.0,Rome,,Italy,147.6,87.4,52.7,65.0,63.4,14.3,35.3,48.8,93.7,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,2.32807570977918,51.2,64.7,46.730000000000004,46.0,47.0,-1.0
203.0,London,,United Kingdom,143.4,123.1,44.4,69.5,87.5,15.4,44.8,58.1,88.3,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,1.638857142857143,41.9,55.2,45.569,48.0,48.0,0.0
238.0,Milan,,Italy,129.4,86.6,46.5,70.3,73.1,15.4,36.1,67.9,88.1,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,1.7701778385772915,32.099999999999994,63.9,39.104000000000006,50.0,49.0,1.0
230.0,New York,NY,United States,134.4,105.4,48.9,62.8,100.0,13.5,43.5,57.9,79.7,True,2026,https://www.numbeo.com/quality-of-life/rankings.jsp,2026 city ranking table,1.344,42.1,56.5,37.887000000000015,49.0,50.0,-1.0
