source_rank,city,state,country,region,latitude,longitude,numbeo_quality_of_life_index,purchasing_power_index,safety_index,healthcare_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_index,pollution_index,climate_index,is_required_city,source_period,source_url,source_note,purchasing_power_score,safety_score,healthcare_score,climate_score,affordability_score,housing_affordability_score,low_pollution_score,low_traffic_score,personalization_adjustment,practical_score,daily_life_score,food_scene_score,culture_score,outdoors_score,transit_score,airport_score,nightlife_score,friendliness_score,pace_of_life,baseline_lifestyle_score,data_quality,method_version,lifestyle_score,lifestyle_fit_score
129.0,Abu Dhabi,,United Arab Emirates,Middle East,24.4667,54.4167,176.3,115.7,88.7,72.3,52.9,7.1,30.0,45.8,43.9,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,54.927385892116185,100.0,69.2783505154639,34.57943925233644,65.66037735849056,94.93041749502981,59.97596153846154,72.81368821292776,69.43842415845674,177.6,92.9,84.7,66.7,27.5,35.4,85.4,56.3,,slow,64.9,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,64.9,89.9
130.0,Prague,,Czech Republic,Europe,50.0755,14.4378,175.8,109.5,75.3,74.8,57.8,18.8,31.8,33.0,80.7,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,51.711618257261414,80.96590909090908,74.43298969072164,77.57009345794393,61.03773584905661,83.30019880715706,75.36057692307692,69.39163498098858,72.05446668637511,180.6,92.0,83.0,94.7,74.4,92.8,89.7,93.1,,slow,88.4,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,88.4,205.6
131.0,Hyderabad,,India,Asia,17.3667,78.4333,175.0,184.4,57.4,65.5,20.5,4.4,42.2,76.0,73.5,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,90.56016597510373,55.53977272727272,55.25773195876288,69.1588785046729,96.22641509433963,97.61431411530815,23.677884615384613,49.619771863117855,69.40915005151413,176.9,77.2,60.4,61.9,40.5,63.9,80.8,30.6,,moderate,60.6,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,60.6,69.6
132.0,Montreal,,Canada,North America,45.5,-73.5833,174.4,136.5,67.1,61.9,59.6,7.5,40.1,33.7,52.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,65.71576763485479,69.31818181818181,47.835051546391746,44.509345794392516,59.33962264150943,94.53280318091451,74.51923076923077,53.61216730038022,64.64202199000276,170.7,96.1,83.9,87.4,69.2,91.8,89.7,81.3,,moderate,86.2,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,86.2,194.7
133.0,San Francisco,CA,United States,North America,37.7833,-122.4167,174.3,175.5,39.5,64.9,95.6,7.3,49.0,49.0,97.3,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,85.94398340248964,30.11363636363636,54.02061855670104,96.9626168224299,25.37735849056604,94.73161033797217,56.12980769230769,36.69201520912547,63.38475703384924,169.2,94.7,85.0,94.0,68.5,96.2,90.2,89.7,,moderate,88.5,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,88.5,206.1
134.0,London,,Canada,North America,42.9849,-81.2453,174.3,138.5,46.2,67.3,61.4,5.9,30.0,35.6,59.3,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,66.75311203319502,39.63068181818182,58.96907216494844,52.570093457943926,57.64150943396227,96.12326043737575,72.23557692307692,72.81368821292776,64.427556835496,170.4,67.3,60.8,44.9,29.5,28.6,51.1,38.6,,slow,47.0,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,47.0,5.5
135.0,Bursa,,Turkey,Middle East,40.2,29.0667,173.3,84.4,70.9,77.5,39.4,6.2,33.8,46.4,93.4,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,38.692946058091295,74.7159090909091,80.0,92.40654205607477,78.39622641509435,95.82504970178927,59.25480769230769,65.5893536121673,73.57010580798661,181.1,66.6,55.5,52.1,21.7,70.6,66.3,19.7,,slow,51.9,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,51.9,28.6
136.0,Trieste,,Italy,Europe,45.6495,13.7768,173.3,96.8,72.7,64.5,63.3,7.8,28.8,45.0,92.6,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,45.12448132780084,77.27272727272727,53.19587628865978,91.47196261682242,55.84905660377359,94.23459244532803,60.9375,75.09505703422053,70.72331354206717,177.6,76.3,68.0,77.8,56.7,67.6,67.8,61.4,,slow,68.7,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,68.7,108.2
137.0,Toronto,,Canada,North America,43.65,-79.3833,172.2,142.7,56.4,74.0,65.9,10.9,43.9,37.5,65.3,True,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,68.93153526970954,54.119318181818166,72.78350515463917,59.57943925233644,53.39622641509433,91.1530815109344,69.95192307692308,46.38783269961977,65.31945486684742,170.4,94.7,83.4,81.9,65.1,90.9,91.3,81.8,,moderate,84.4,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,84.4,185.8
138.0,Jeddah (Jiddah),,Saudi Arabia,Middle East,21.4858,39.1925,171.8,136.1,75.1,60.8,43.0,3.6,29.9,65.5,66.2,False,current_rolling,https://www.numbeo.com/quality-of-life/rankings_current.jsp,dataset_2_numbeo_current_quality_of_life_rankings; sourced from Numbeo current rolling city rankings page; not automated scraper in project code,65.50829875518673,80.68181818181817,45.56701030927834,60.63084112149533,75.0,98.40954274353876,36.29807692307693,73.00380228136882,68.77146407167825,174.4,66.9,61.1,34.5,13.0,23.6,89.1,2.9,,slow,42.4,partial_daily_life_food_nightlife_culture_outdoors_transit_airport_pace,free_proxy_v1,42.4,0.0
